Elementos,OBSERVACIONES,Estado,Uso,Ubicación,Destino,Observaciones,Movimiento,Fecha,Ubicación original,Destino original,Clasificación RUBA,Carga Ruba,ESTADO,NUEVA UBICACIÓN,DESTINO,OPERADOR,Fecha actualización Inventario,Operador carga
Adaptador eléctrico 220V red - americano, ,Bueno,Sí,Cuartel Central,Unidad 14,,,,,,,,,,,,,
Adaptador eléctrico 220V red - americano, ,Bueno,Sí,Cuartel Central,Unidad 14,,,,,,,,,,,,,
Adaptador eléctrico 220V red - americano, ,Bueno,Sí,Destacamento,Unidad 2,,,,,,,,,,,,,
Adaptador eléctrico 220V red - americano, ,Bueno,Sí,Destacamento,Unidad 2,,,,,,,,,,,,,
Adaptador eléctrico 220V red - americano, ,Bueno,Sí,Cuartel Central,Unidad 3,,,,,,,,,,,,,
Adaptador eléctrico 220V red - americano, ,Bueno,Sí,Cuartel Central,Unidad 7,,,,,,,,,,,,,
Adaptador eléctrico 220V red - americano, ,Bueno,Sí,Cuartel Central,Unidad 7,,,,,,,,,,,,,
Adaptador eléctrico 220V red - americano, ,Bueno,Sí,Cuartel Central,Unidad 7,,,,,,,,,,,,,
Adaptador eléctrico 220V red - americano, ,Bueno,Sí,Cuartel Central,Unidad 7,,,,,,,,,,,,,
Adaptador eléctrico 220V red - americano, ,Bueno,Sí,Cuartel Central,Unidad 7,,,,,,,,,,,,,
Adaptador eléctrico 220V red - americano, ,Bueno,Sí,Cuartel Central,Unidad 9,,,,,,,,,,,,,
Adaptador hembra Forestal, ,Bueno,No,Destacamento,Galpón,,,,,,,,,,,,,
Adaptador hembra Forestal, ,Bueno,No,Destacamento,Galpón,,,,,,,,,,,,,
Adaptador macho Forestal, ,Bueno,No,Destacamento,Galpón,,,,,,,,,,,,,
Adaptador macho Forestal, ,Bueno,No,Destacamento,Galpón,,,,,,,,,,,,,
Adaptador macho Forestal, ,Bueno,No,Destacamento,Galpón,,,,,,,,,,,,,
Adaptador macho Forestal, ,Bueno,No,Destacamento,Galpón,,,,,,,,,,,,,
"Adaptador reductor Storz 2½"" - 1½"" NTC", ,Nuevo,No,Destacamento,Almacén,,,,,,,,,,,,,
"Adaptador reductor Storz 2½"" - 1½"" NTC", ,Nuevo,No,Destacamento,Almacén,,,,,,,,,,,,,
"Adaptador reductor Storz 2½"" - 1½"" NTC", ,Nuevo,No,Destacamento,Almacén,,,,,,,,,,,,,
"Adaptador reductor Storz 2½"" - 1½"" NTC", ,Nuevo,No,Destacamento,Almacén,,,,,,,,,,,,,
"Adaptador reductor Storz 2½"" - 1½"" NTC", ,Nuevo,No,Destacamento,Almacén,,,,,,,,,,,,,
"Adaptador Storz 1½"" - Withworth hembra 1¾""", ,Nuevo,No,Destacamento,Almacén,,,,,,,,,,,,,
"Adaptador Storz 1¾"" -  NTC macho 1½""", ,Nuevo,Sí,Cuartel Central,Unidad 10,,modificación,7/3/2024,Destacamento,Almacén,,,,,,Bravo 4,8/24/2024,Bravo 9
"Adaptador Storz 1¾"" -  NTC macho 1½""", ,Nuevo,No,Destacamento,Almacén,,,,,,,,,,,,,
"Adaptador Storz 1¾"" -  NTC macho 1½""", ,Nuevo,No,Destacamento,Almacén,,,,,,,,,,,,,
"Adaptador Storz 1¾"" -  NTC macho 1½""", ,Nuevo,No,Destacamento,Almacén,,,,,,,,,,,,,
"Adaptador Storz 1¾"" -  NTC macho 1½""", ,Nuevo,No,Destacamento,Almacén,,,,,,,,,,,,,
"Adaptador Storz 1¾"" -  NTC macho 1½""", ,Nuevo,No,Destacamento,Almacén,,,,,,,,,,,,,
"Adaptador Storz 1¾"" -  NTC macho 1½""", ,Nuevo,No,Destacamento,Almacén,,,,,,,,,,,,,
"Adaptador Storz 1¾"" -  NTC macho 1½""", ,Nuevo,No,Destacamento,Almacén,,,,,,,,,,,,,
"Adaptador Storz 1¾"" -  NTC macho 1½""", ,Nuevo,No,Destacamento,Almacén,,,,,,,,,,,,,
"Adaptador Storz 1¾"" -  NTC macho 1½""", ,Nuevo,No,Destacamento,Almacén,,,,,,,,,,,,,
"Adaptador Storz 1¾"" -  NTC macho 1½""", ,Nuevo,No,Destacamento,Almacén,,,,,,,,,,,,,
"Adaptador Storz 1¾"" -  NTC macho 1½""", ,Nuevo,No,Destacamento,Almacén,,,,,,,,,,,,,
"Adaptador Storz 1¾"" -  NTC macho 1½""", ,Nuevo,No,Destacamento,Almacén,,,,,,,,,,,,,
"Adaptador Storz 1¾"" -  NTC macho 1½""", ,Nuevo,Sí,Cuartel Central,Unidad 7,,,,,,,,,,,,,
"Adaptador Storz 1¾"" - Withworth hembra 2½“", ,Bueno,Sí,Cuartel Central,Unidad 6,,,,,,,,,,,,,
"Adaptador Storz 1¾"" - Withworth macho 2½“", ,Bueno,Sí,Cuartel Central,Unidad 6,,,,,,,,,,,,,
"Adaptador Storz 1¾” - 1½"" Forestal", ,Bueno,Sí,Destacamento,Galpón,,,,,,,,,,,,,
"Adaptador Storz 1¾” - 1½"" Forestal", ,Bueno,Sí,Destacamento,Galpón,,,,,,,,,,,,,
"Adaptador Storz 2½"" - NTC macho 1½"" ", ,Nuevo,Sí,Cuartel Central,Unidad 6,,,,,,,,,,,,,
"Adaptador Storz 2½"" - NTC macho 1½"" ", ,Nuevo,No,Destacamento,Almacén,,,,,,,,,,,,,
"Adaptador Storz 2½"" - NTC macho 1½"" ", ,Nuevo,No,Destacamento,Almacén,,,,,,,,,,,,,
"Adaptador Storz 2½"" - Withworth hembra 2½""", ,Nuevo,No,Destacamento,Almacén,,,,,,,,,,,,,
"Adaptador Storz 2½"" - Withworth hembra 2½""", ,Nuevo,No,Destacamento,Almacén,,,,,,,,,,,,,
"Adaptador Storz 2½"" - Withworth hembra 2½""", ,Nuevo,No,Destacamento,Almacén,,,,,,,,,,,,,
"Adaptador Storz 2½"" - Withworth hembra 2½""", ,Nuevo,Sí,Cuartel Central,Unidad 6,,,,,,,,,,,,,
"Adaptador Storz 2½"" - Withworth hembra 2½""", ,Nuevo,Sí,Cuartel Central,Unidad 6,,,,,,,,,,,,,
"Adaptador Storz 2½"" - Withworth hembra 2½""", ,Nuevo,Sí,Cuartel Central,Unidad 6,,,,,,,,,,,,,
"Adaptador Storz 2½"" - Withworth hembra 2½""", ,Nuevo,Sí,Cuartel Central,Unidad 6,,,,,,,,,,,,,
Adaptador Storz 2½“ - Withworth hembra 2½“, ,Bueno,Sí,Cuartel Central,Unidad 6,,,,,,,,,,,,,
Adaptador Storz 2½“ - Withworth macho 2½“, ,Bueno,Sí,Cuartel Central,Unidad 6,,,,,,,,,,,,,
Adaptador Storz 2½“ - Withworth macho 2½“, ,Bueno,Sí,Cuartel Central,Unidad 6,,,,,,,,,,,,,
Adaptador Storz 2½“ - Withworth macho 2½“, ,Bueno,Sí,Cuartel Central,Unidad 6,,,,,,,,,,,,,
"Adaptador Storz 3"" - NTC hembra 2""  ", ,Nuevo,No,Destacamento,Almacén,,,,,,,,,,,,,
"Adaptador Storz 3"" - Withworth hembra 2½""", ,Nuevo,No,Destacamento,Almacén,,,,,,,,,,,,,
"Adaptador Storz 3"" - Withworth hembra 2½""", ,Nuevo,No,Destacamento,Almacén,,,,,,,,,,,,,
"Adaptador Storz 3"" - Withworth hembra 2½""", ,Nuevo,No,Destacamento,Almacén,,,,,,,,,,,,,
"Adaptador Storz 3"" - Withworth hembra 3""", ,Nuevo,No,Destacamento,Almacén,,,,,,,,,,,,,
Alacena madera 4 puertas, ,Bueno,Sí,Cuartel Central,Gamela,,,,,,,,,,,,,
Alargue 12V, ,Bueno,Sí,Cuartel Central,Unidad 10,,,,,,,,,,,,,
Alargue 12V, ,Bueno,Sí,Destacamento,Unidad 13,,,,,,,,,,,,,
Alargue 12V, ,Bueno,Sí,Destacamento,Unidad 13,,,,,,,,,,,,,
Alargue 12V, ,Bueno,Sí,Cuartel Central,Unidad 14,,,,,,,,,,,,,
Alargue 12V, ,Bueno,Sí,Destacamento,Unidad 4,,,,,,,,,,,,,
Alargue 12V, ,Bueno,Sí,Destacamento,Unidad 4,,,,,,,,,,,,,
Alargue 12V, ,Bueno,Sí,Cuartel Central,Unidad 7,,,,,,,,,,,,,
Alargue 12V, ,Bueno,Sí,Cuartel Central,Unidad 7,,,,,,,,,,,,,
Alargue 12V, ,Bueno,Sí,Cuartel Central,Unidad 9,,,,,,,,,,,,,
Alargue 12V, ,Bueno,Sí,Cuartel Central,Unidad 9,,,,,,,,,,,,,
Alargue 220V, ,Bueno,Sí,Destacamento,Unidad 13,,,,,,,,,,,,,
Alargue 220V, ,Bueno,Sí,Destacamento,Unidad 13,,,,,,,,,,,,,
Alargue 220V, ,Bueno,Sí,Cuartel Central,Unidad 14,,,,,,,,,,,,,
Alargue 220V, ,Bueno,Sí,Cuartel Central,Unidad 14,,,,,,,,,,,,,
Alargue 220V, ,Bueno,Sí,Destacamento,Unidad 2,,,,,,,,,,,,,
Alargue 220V, ,Bueno,Sí,Destacamento,Unidad 2,,,,,,,,,,,,,
Alargue 220V, ,Bueno,Sí,Cuartel Central,Unidad 3,,,,,,,,,,,,,
Alargue 220V, ,Bueno,Sí,Cuartel Central,Unidad 7,,,,,,,,,,,,,
Alargue 220V, ,Bueno,Sí,Cuartel Central,Unidad 7,,,,,,,,,,,,,
Alargue 220V americano con dos tomas, ,Bueno,Sí,Cuartel Central,Unidad 9,,,,,,,,,,,,,
Alargue 220V red (2 Tomas), ,Bueno,Sí,Destacamento,Unidad 2,,,,,,,,,,,,,
Alargue 220V red (2 Tomas), ,Bueno,Sí,Destacamento,Unidad 2,,,,,,,,,,,,,
Alargue 380V, ,Bueno,Sí,Destacamento,Unidad 2,,,,,,,,,,,,,
Alargue cable de puesta a tierra, ,Bueno,Sí,Destacamento,Unidad 2,,,,,,,,,,,,,
Alarma personal PASS modelo Superpass II, ,Roto,No,Baja,Baja,,,,,,,,,,,,,
Alarma personal PASS modelo Superpass II, ,Bueno,Sí,Cuartel Central,Unidad 10,,,,,,,,,,,,,
Alarma personal PASS modelo Superpass II, ,Bueno,Sí,Cuartel Central,Unidad 10,,,,,,,,,,,,,
Alarma personal PASS modelo Superpass II, ,Bueno,Sí,Cuartel Central,Unidad 10,,,,,,,,,,,,,
Alarma personal PASS modelo Superpass II, ,Bueno,Sí,Destacamento,Unidad 13,,,,,,,,,,,,,
Alarma personal PASS modelo Superpass II, ,Bueno,Sí,Destacamento,Unidad 13,,,,,,,,,,,,,
Alarma personal PASS modelo Superpass II, ,Bueno,Sí,Destacamento,Unidad 13,,,,,,,,,,,,,
Alarma personal PASS modelo Superpass II, ,Bueno,Sí,Destacamento,Unidad 13,,,,,,,,,,,,,
Alarma personal PASS modelo Superpass II, ,Bueno,Sí,Destacamento,Unidad 13,,,,,,,,,,,,,
Alarma personal PASS modelo Superpass II, ,Bueno,Sí,Destacamento,Unidad 13,,,,,,,,,,,,,
Alarma personal PASS modelo Superpass II, ,Bueno,Sí,Cuartel Central,Unidad 14,,,,,,,,,,,,,
Alarma personal PASS modelo Superpass II, ,Bueno,Sí,Cuartel Central,Unidad 14,,,,,,,,,,,,,
Alarma personal PASS modelo Superpass II, ,Bueno,Sí,Cuartel Central,Unidad 14,,,,,,,,,,,,,
Alarma personal PASS modelo Superpass II, ,Bueno,Sí,Cuartel Central,Unidad 3,,,,,,,,,,,,,
Alarma personal PASS modelo Superpass II, ,Bueno,Sí,Cuartel Central,Unidad 3,,,,,,,,,,,,,
Alarma personal PASS modelo Superpass II, ,Bueno,Sí,Cuartel Central,Unidad 3,,,,,,,,,,,,,
Alarma personal PASS modelo Superpass II, ,Bueno,Sí,Destacamento,Unidad 4,,,,,,,,,,,,,
Alarma personal PASS modelo Superpass II, ,Bueno,Sí,Destacamento,Unidad 4,,,,,,,,,,,,,
Alarma personal PASS modelo Superpass II, ,Bueno,Sí,Destacamento,Unidad 4,,,,,,,,,,,,,
Alarma personal PASS modelo Superpass II, ,Bueno,Sí,Destacamento,Unidad 5,,,,,,,,,,,,,
Alarma personal PASS modelo Superpass II, ,Bueno,Sí,Destacamento,Unidad 5,,,,,,,,,,,,,
Alarma personal PASS modelo Superpass II, ,Bueno,Sí,Destacamento,Unidad 5,,,,,,,,,,,,,
Alarma personal PASS modelo Superpass II, ,Bueno,Sí,Destacamento,Unidad 5,,,,,,,,,,,,,
Alarma personal PASS modelo Superpass II, ,Bueno,Sí,Cuartel Central,Unidad 6,,,,,,,,,,,,,
Alarma personal PASS modelo Superpass II, ,Bueno,Sí,Cuartel Central,Unidad 6,,,,,,,,,,,,,
Alarma personal PASS modelo Superpass II, ,Bueno,Sí,Cuartel Central,Unidad 6,,,,,,,,,,,,,
Alarma personal PASS modelo Superpass II, ,Bueno,Sí,Cuartel Central,Unidad 6,,,,,,,,,,,,,
Alarma personal PASS modelo Superpass II, ,Bueno,Sí,Cuartel Central,Unidad 6,,,,,,,,,,,,,
Alarma personal PASS modelo Superpass II, ,Bueno,Sí,Cuartel Central,Unidad 7,,,,,,,,,,,,,
Alarma personal PASS modelo Superpass II, ,Bueno,Sí,Cuartel Central,Unidad 7,,,,,,,,,,,,,
Alarma personal PASS modelo Superpass II, ,Bueno,Sí,Cuartel Central,Unidad 7,,,,,,,,,,,,,
Alarma personal PASS modelo Superpass II, ,Nuevo,Sí,Cuartel Central,Unidad 7,,Modificación,7/13/2024,Destacamento,Almacén,,,,,,Bravo 4,8/24/2024,Bravo 9
Alarma personal PASS modelo Superpass II, ,Nuevo,Sí,Cuartel Central,Unidad 7,,Modificación,7/13/2024,Destacamento,Almacén,,,,,,Bravo 4,8/24/2024,Bravo 9
Alarma personal PASS modelo Superpass II, ,Nuevo,Sí,Cuartel Central,Unidad 7,,Modificación,7/13/2024,Destacamento,Almacén,,,,,,Bravo 4,8/24/2024,Bravo 9
Alarma personal PASS modelo Superpass II, ,Nuevo,Sí,Cuartel Central,Depósito Archivo,,,,,,,,,,,,,
Alarma personal PASS modelo Superpass II, ,Nuevo,Sí,Cuartel Central,Depósito Archivo,,,,,,,,,,,,,
Alarma personal PASS modelo Superpass II, ,Nuevo,Sí,Cuartel Central,Depósito Archivo,,,,,,,,,,,,,
Alarma personal PASS modelo Superpass II, ,Nuevo,Sí,Cuartel Central,Depósito Archivo,,,,,,,,,,,,,
Alarma personal PASS modelo Superpass II, ,Nuevo,Sí,Cuartel Central,Depósito Archivo,,,,,,,,,,,,,
Alarma personal PASS modelo Superpass II, ,Nuevo,Sí,Cuartel Central,Depósito Archivo,,,,,,,,,,,,,
Alarma personal PASS modelo Superpass II, ,Nuevo,Sí,Cuartel Central,Depósito Archivo,,,,,,,,,,,,,
Alarma personal PASS modelo Superpass II, ,Nuevo,Sí,Cuartel Central,Depósito Archivo,,,,,,,,,,,,,
Alarma personal PASS modelo Superpass II, ,Nuevo,Sí,Cuartel Central,Depósito Archivo,,,,,,,,,,,,,
Alarma personal PASS modelo Superpass II, ,Nuevo,Sí,Cuartel Central,Depósito Archivo,,,,,,,,,,,,,
Alarma personal PASS modelo Superpass II, ,Nuevo,Sí,Cuartel Central,Depósito Archivo,,,,,,,,,,,,,
Alarma personal PASS modelo Superpass II, ,Nuevo,Sí,Cuartel Central,Depósito Archivo,,,,,,,,,,,,,
Alarma personal PASS modelo Superpass II, ,Bueno,Sí,Destacamento,Unidad 4,,,,,,,,,,,,,
Alarma personal PASS modelo Superpass II, ,Bueno,Sí,Destacamento,Unidad 4,,,,,,,,,,,,,
Almohada 1 plaza, ,Bueno,Sí,Cuartel Central,Dormitorio Gamela,,,,,,,,,,,,,
Almohada 1 plaza, ,Bueno,Sí,Cuartel Central,Dormitorio Gamela,,,,,,,,,,,,,
Almohada 1 plaza, ,Bueno,Sí,Cuartel Central,Dormitorio Gamela,,,,,,,,,,,,,
Almohada 1 plaza, ,Bueno,Sí,Cuartel Central,Dormitorio Gamela,,,,,,,,,,,,,
Almohada 1 plaza, ,Bueno,Sí,Cuartel Central,Dormitorio Gamela,,,,,,,,,,,,,
Almohada 1 plaza, ,Bueno,Sí,Cuartel Central,Dormitorio Gamela,,,,,,,,,,,,,
Almohada 1 plaza, ,Bueno,Sí,Cuartel Central,Dormitorio Gamela,,,,,,,,,,,,,
Amarre JANE, ,Bueno,Sí,Cuartel Central,Unidad 9,,,,,,,,,,,,,
Amarre JANE, ,Bueno,Sí,Cuartel Central,Unidad 9,,,,,,,,,,,,,
Amarre JANE, ,Bueno,Sí,Cuartel Central,Unidad 9,,,,,,,,,,,,,
Amarre JANE, ,Bueno,Sí,Cuartel Central,Unidad 9,,,,,,,,,,,,,
Amarre PEDAL FOOTAPE, ,Bueno,Sí,Cuartel Central,Unidad 9,,,,,,,,,,,,,
Amarre PEDAL FOOTAPE, ,Bueno,Sí,Cuartel Central,Unidad 9,,,,,,,,,,,,,
Amarre PROGRESS, ,Bueno,Sí,Cuartel Central,Unidad 9,,,,,,,,,,,,,
Amarre PROGRESS, ,Bueno,Sí,Cuartel Central,Unidad 9,,,,,,,,,,,,,
Amarre PROGRESS, ,Bueno,Sí,Cuartel Central,Unidad 9,,,,,,,,,,,,,
Amarre PROGRESS, ,Bueno,Sí,Cuartel Central,Unidad 9,,,,,,,,,,,,,
Amarre PROGRESS, ,Bueno,Sí,Cuartel Central,Unidad 9,,,,,,,,,,,,,
Amarre PROGRESS, ,Bueno,Sí,Cuartel Central,Unidad 9,,,,,,,,,,,,,
Amoladora, ,Bueno,Sí,Destacamento,Taller,,,,,,,,,,,,,
Amoladora, ,Bueno,Sí,Destacamento,Taller,,,,,,,,,,,,,
Amoladora, ,Bueno,Sí,Destacamento,Taller,,,,,,,,,,,,,
Amoladora de banco, ,Bueno,Sí,Destacamento,Taller,,,,,,,,,,,,,
Amoladora de banco 350W Skil, ,Bueno,Sí,Destacamento,Taller,,,,,,,,,,,,,
Amoladora marca Dewalt modelo 18V XRP a batería, ,Bueno,Sí,Cuartel Central,Unidad 3,,,,,,,,,,,,,
Amplificador de audio, ,Bueno,No,Cuartel Central,Depósito Archivo,,,,,,,,,,,,,
Analizador de baterías, ,Bueno,Sí,Destacamento,Taller,,,,,,,,,,,,,
Analizador de gases marca Telme, ,Bueno,Sí,Destacamento,Taller,,,,,,,,,,,,,
Anclaje ANNEAU 120 cm, ,Bueno,Sí,Cuartel Central,Unidad 9,,,,,,,,,,,,,
Anclaje ANNEAU 120 cm, ,Bueno,Sí,Cuartel Central,Unidad 9,,,,,,,,,,,,,
Anclaje ANNEAU 120 cm, ,Bueno,Sí,Cuartel Central,Unidad 9,,,,,,,,,,,,,
Anclaje ANNEAU 120 cm, ,Bueno,Sí,Cuartel Central,Unidad 9,,,,,,,,,,,,,
Anclaje ANNEAU 120 cm, ,Bueno,Sí,Cuartel Central,Unidad 9,,,,,,,,,,,,,
Anclaje ANNEAU 120 cm, ,Bueno,Sí,Cuartel Central,Unidad 9,,,,,,,,,,,,,
Anclaje ANNEAU 120 cm, ,Bueno,Sí,Cuartel Central,Unidad 9,,,,,,,,,,,,,
Anclaje ANNEAU 150 cm, ,Bueno,Sí,Cuartel Central,Unidad 9,,,,,,,,,,,,,
Anclaje ANNEAU 150 cm, ,Bueno,Sí,Cuartel Central,Unidad 9,,,,,,,,,,,,,
Anclaje ANNEAU 150 cm, ,Bueno,Sí,Cuartel Central,Unidad 9,,,,,,,,,,,,,
Anclaje ANNEAU 150 cm, ,Bueno,Sí,Cuartel Central,Unidad 9,,,,,,,,,,,,,
Anclaje ANNEAU 150 cm, ,Bueno,Sí,Cuartel Central,Unidad 9,,,,,,,,,,,,,
Anclaje ANNEAU 150 cm, ,Bueno,Sí,Cuartel Central,Unidad 9,,,,,,,,,,,,,
Anclaje ANNEAU 150 cm, ,Bueno,Sí,Cuartel Central,Unidad 9,,,,,,,,,,,,,
Anclaje ANNEAU 60 cm, ,Bueno,Sí,Cuartel Central,Unidad 9,,,,,,,,,,,,,
Anclaje ANNEAU 60 cm, ,Bueno,Sí,Cuartel Central,Unidad 9,,,,,,,,,,,,,
Anclaje ANNEAU 60 cm, ,Bueno,Sí,Cuartel Central,Unidad 9,,,,,,,,,,,,,
Anclaje ANNEAU 60 cm, ,Bueno,Sí,Cuartel Central,Unidad 9,,,,,,,,,,,,,
Anclaje ANNEAU 60 cm, ,Bueno,Sí,Cuartel Central,Unidad 9,,,,,,,,,,,,,
Anclaje Cinta TUBULAR 26 MM Negra, ,Bueno,Sí,Cuartel Central,Unidad 9,,,,,,,,,,,,,
Anilladora, ,Bueno,Sí,Cuartel Central,Oficina Cuerpo Activo,,,,,,,,,,,,,
Anilladora para carpetas, ,Bueno,Sí,Cuartel Central,Oficina Academia,,,,,,,,,,,,,
Anillo Giratorio SWIVEL - L, ,Bueno,Sí,Cuartel Central,Unidad 9,,,,,,,,,,,,,
Antena Equipo Motorola VHF Modelo EP450, ,Nuevo,Sí,Personal BVU,Equipamiento,Uso Personal,,,,,,,,,,,,
Antena Equipo Motorola VHF Modelo EP450, ,Nuevo,No,Cuartel Central,Depósito Archivo,,,,,,,,,,,,,
Antena Equipo Motorola VHF Modelo EP450, ,Nuevo,No,Cuartel Central,Depósito Archivo,,,,,,,,,,,,,
Antena Equipo Motorola VHF Modelo EP450, ,Nuevo,No,Cuartel Central,Depósito Archivo,,,,,,,,,,,,,
Antena Equipo Motorola VHF Modelo EP450, ,Nuevo,No,Cuartel Central,Depósito Archivo,,,,,,,,,,,,,
Antena Equipo Motorola VHF Modelo EP450, ,Nuevo,No,Cuartel Central,Depósito Archivo,,,,,,,,,,,,,
Antena Equipo Motorola VHF Modelo EP450, ,Nuevo,No,Cuartel Central,Depósito Archivo,,,,,,,,,,,,,
Antena Equipo Motorola VHF Modelo EP450, ,Nuevo,No,Cuartel Central,Depósito Archivo,,,,,,,,,,,,,
Antena Equipo Motorola VHF Modelo EP450,B27,Nuevo,Sí,Personal BVU,Equipamiento,Uso Personal,Modificación,7/23/2022,Cuartel Central Depósito Archivo,,,,,,,Bravo 7,7/25/2022,Bravo 9
Anteojo de sol, ,Bueno,Sí,Cuartel Central,Montaña,,,,,,,,,,,,,
Anteojo de sol, ,Bueno,Sí,Cuartel Central,Montaña,,,,,,,,,,,,,
Anticaída ASAP, ,Bueno,Sí,Cuartel Central,Unidad 9,,,,,,,,,,,,,
Anticaída ASAP, ,Bueno,Sí,Cuartel Central,Unidad 9,,,,,,,,,,,,,
Anticaída ASAP, ,Bueno,Sí,Cuartel Central,Unidad 9,,,,,,,,,,,,,
Anticaída ASAP, ,Bueno,Sí,Cuartel Central,Unidad 9,,,,,,,,,,,,,
Anticaída SLINGAR, ,Bueno,Sí,Cuartel Central,Unidad 9,,,,,,,,,,,,,
Antigiro swivell, ,Bueno,Sí,Cuartel Central,unidad 9,RTC,,,,,,,,,,Bravo 13,5/30/2022,Bravo 9
Antiparra marca Salice modelo 905, ,Nuevo,No,Cuartel Central,Almacén,,,,,,,,,,,,,
Antiparra marca Salice modelo 905, ,Nuevo,No,Cuartel Central,Almacén,,,,,,,,,,,,,
Antiparra marca Salice modelo 905, ,Nuevo,No,Cuartel Central,Almacén,,,,,,,,,,,,,
Antiparra marca Salice modelo 905, ,Nuevo,No,Cuartel Central,Almacén,,,,,,,,,,,,,
Antiparra marca Salice modelo 905, ,Nuevo,No,Cuartel Central,Almacén,,,,,,,,,,,,,
Antiparra marca Salice modelo 905, ,Nuevo,No,Cuartel Central,Almacén,,,,,,,,,,,,,
Antiparra para nieve Salice, ,Bueno,Sí,Cuartel Central,Montaña,,,,,,,,,,,,,
Antiparra para nieve Salice, ,Bueno,Sí,Cuartel Central,Montaña,,,,,,,,,,,,,
Antiparra para nieve Salice, ,Bueno,Sí,Cuartel Central,Montaña,,,,,,,,,,,,,
Antiparra para nieve Salice, ,Bueno,Sí,Cuartel Central,Montaña,,,,,,,,,,,,,
Antiparra para nieve Salice, ,Bueno,Sí,Cuartel Central,Montaña,,,,,,,,,,,,,
Antiparra para nieve Salice, ,Bueno,Sí,Cuartel Central,Montaña,,,,,,,,,,,,,
Antiparra tipo lente, ,Bueno,Sí,Cuartel Central,Montaña,,,,,,,,,,,,,
Araña Camilla MGO , ,Bueno,Sí,Cuartel Central,Unidad 9,,,,,,,,,,,,,
